Security Code,Security Id
500002,ABB
500003,AEGISLOG
500008,AMARAJABAT
500010,HDFC
500020,BOMDYEING
500027,ATUL
500031,BAJAJELEC
500034,BAJFINANCE
500038,BALRAMCHIN
500040,CENTURYTEX
500043,BATAINDIA
500048,BEML
500049,BEL
500084,CESC
500086,EXIDEIND
500087,CIPLA
500092,CRISIL
500093,CGPOWER
500096,DABUR
500101,ARVIND
500103,BHEL
500104,HINDPETRO
500106,IFCI
500109,MRPL
500110,CHENNPETRO
500111,RELCAPITAL
500112,SBIN
500113,SAIL
500114,TITAN
500116,IDBI
500124,DRREDDY
500125,EIDPARRY
500144,FINCABLES
500163,GODFRYPHLP
500164,GODREJIND
500165,KANSAINER
500171,GHCL
500179,HCL-INSYS
500180,HDFCBANK
500182,HEROMOTOCO
500185,HCC
500188,HINDZINC
500209,INFY
500219,JISLJALEQS
500228,JSWSTEEL
500233,KAJARIACER
500238,WHIRLPOOL
500247,KOTAKBANK
500251,TRENT
500252,LAXMIMACH
500253,LICHSGFIN
500257,LUPIN
500260,RAMCOCEM
500271,MFSL
500290,MRF
500294,NCC
500295,VEDL
500300,GRASIM
500302,PEL
500312,ONGC
500315,ORIENTBANK
500325,RELIANCE
500330,RAYMOND
500331,PIDILITIND
500355,RALLIS
500380,JKLAKSHMI
500387,SHREECEM
500390,RELINFRA
500400,TATAPOWER
500403,SUNDRMFAST
500408,TATAELXSI
500410,ACC
500411,THERMAX
500420,TORNTPHARM
500425,AMBUJACEM
500440,HINDALCO
500459,PGHH
500469,FEDERALBNK
500470,TATASTEEL
500472,SKFINDIA
500477,ASHOKLEY
500480,CUMMINSIND
500483,TATACOMM
500490,BAJAJHLDNG
500493,BHARATFORG
500495,ESCORTS
500510,LT
500520,M&amp
500530,BOSCHLTD
500547,BPCL
500550,SIEMENS
500570,TATAMOTORS
500575,VOLTAS
500620,GESHIP
500660,GLAXO
500670,GNFC
500674,SANOFI
500676,GSKCONS
500680,PFIZER
500690,GSFC
500696,HINDUNILVR
500770,TATACHEM
500790,NESTLEIND
500800,TATAGLOBAL
500820,ASIANPAINT
500825,BRITANNIA
500830,COLPAL
500850,INDHOTEL
500870,CASTROLIND
500875,ITC
500877,APOLLOTYRE
500878,CEATLTD
500940,FINOLEXIND
501425,BBTC
502355,BALKRISIND
502742,SINTEX
503806,SRF
505200,EICHERMOT
505537,ZEEL
506285,BAYERCROP
506395,COROMANDEL
507685,WIPRO
507878,UNITECH
508869,APOLLOHOSP
509480,BERGEPAINT
509930,SUPREMEIND
511072,DHFL
511196,CANFINHOME
511218,SRTRANSFIN
511243,CHOLAFIN
511288,GRUH
511389,VIDEOIND
511431,VAKRANGEE
512070,UPL
512599,ADANIENT
513010,TATASPONGE
513375,CARBORUNIV
513377,MMTC
513599,HINDCOPPER
513683,NLCINDIA
514162,WELSPUNIND
517334,MOTHERSUMI
517354,HAVELLS
517385,SYMPHONY
517506,TTKPRESTIG
521016,ICIL
522275,GET&amp
523204,ABAN
523385,NILKAMAL
523405,JMFINANCIL
523598,SCI
523642,PIIND
523756,SREINFRA
524084,MONSANTO
524404,MARKSANS
524494,IPCALAB
524715,SUNPHARMA
524804,AUROPHARMA
524816,NATCOPHARM
526299,MPHASIS
526371,NMDC
526612,BLUEDART
530005,INDIACEM
530007,JKTYRE
530019,JUBILANT
530965,IOC
531162,EMAMILTD
531213,MANAPPURAM
531344,CONCOR
531500,RAJESHEXPO
531642,MARICO
532121,DENABANK
532129,HEXAWARE
532134,BANKBARODA
532144,WELCORP
532149,BANKINDIA
532155,GAIL
532174,ICICIBANK
532175,CYIENT
532178,ENGINERSIN
532179,CORPBANK
532181,GMDCLTD
532187,INDUSINDBK
532209,J&amp
532210,CUB
532215,AXISBANK
532218,SOUTHBANK
532234,NATIONALUM
532254,POLARIS
532276,SYNDIBANK
532281,HCLTECH
532286,JINDALSTEL
532296,GLENMARK
532300,WOCKPHARMA
532321,CADILAHC
532331,AJANTPHARM
