Security Code,Security Id
500013,ANSALAPI
500023,ASIANHOTNR
500024,ASSAMCO
500029,AUTOLITIND
500032,BAJAJHIND
500033,FORCEMOT
500039,BANCOINDIA
500041,BANARISUG
500042,BASF
500052,BEPL
500055,BHUSANSTL
500059,BINANIIND
500060,BIRLACABLE
500067,BLUESTARCO
500074,BPL
500083,CENTEXT
500085,CHAMBLFERT
500089,DICIND
500097,DALMIASUG
500102,BALLARPUR
500108,MTNL
500117,DCW
500119,DHAMPURSUG
500123,ELANTAS
500126,MERCK
500128,ELECTCAST
500133,ESABINDIA
500135,ESSELPRO
500136,ESTER
500139,FEDDERELEC
500148,UFLEX
500150,FOSECOIND
500155,GARDENSILK
500160,GTL
500168,GOODYEAR
500170,GTNINDS
500173,GUJFLUORO
500183,HFCL
500184,HSCL
500186,HINDOILEXP
500187,HSIL
500189,HINDUJAVEN
500193,HOTELEELA
500199,IGPL
500201,INDIAGLYCO
500207,INDORAMA
500210,INGERRAND
500215,ATFL
500227,JINDALPOLY
500231,UMANGDAIR
500234,KAKATCEM
500235,KSL
500241,KIRLOSBROS
500243,KIRLOSIND
500245,KIRLFER
500249,KSBPUMPS
500250,LGBBROSLTD
500254,UTTAMVALUE
500255,LML
500259,LYKALABS
500265,MAHSEAMLES
500266,MAHSCOOTER
500268,MANALIPETC
500279,MIRCELECTR
500280,CENTENKA
500285,SPICEJET
500288,MOREPENLAB
500292,HEIDELBERG
500296,NAHARSPING
500304,NIITLTD
500307,NIRLON
500313,OILCOUNTUB
500314,ORIENTHOT
500317,OSWALAGRO
500327,PILITA
500335,BIRLACORPN
500336,SURYAROSNI
500337,PRIMESECU
500338,PRISMCEM
500339,RAIN
500343,PDUMJEPULP
500350,RSWM
500354,RAJSREESUG
500356,RAMANEWS
500366,ROLTA
500368,RUCHISOYA
500378,JINDALSAW
500402,SPMLINFRA
500404,SUNFLAG
500405,SUPPETRO
500407,SWARAJENG
500412,TIRUMALCHM
500413,THOMASCOOK
500418,TOKYOPLAST
500429,UNIPHOS
500439,VHL
500444,WSTCSTPAPR
500449,HOCL
500460,MUKANDLTD
500463,AGCNET
500464,UCALFUEL
500467,HARRMALAYA
500488,ABBOTINDIA
500500,HINDMOTORS
500540,PREMIER
500645,DEEPAKFERT
500650,EXCELINDUS
